old	new
pEE1HE4	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pE2HE3	cyt_prot__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__ERBB3_1_
pE1HE3	cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_
pHE3E4	cyt_prot__NRG1_1__ERBB3_1__pY1056_pY1162_pY1284_ERBB4_1_
pHE3HE4	cyt_prot__NRG1_1__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pE2HE4	cyt_prot__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pE1HE4	cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pE3HE4	cyt_prot__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_
pHE4E4	cyt_prot__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1_
pHE4HE4	cyt_prot__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1_
pHGF_Met_Met	cyt_prot__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1__pY1234_pY1235_pY1234_pY1235_MET_1_
pHGF_Met_HGF_Met	cyt_prot__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1_
pPPrPPr	cyt_cong__PDGFB_1__p_PGFRB__PDGFB_1__p_PGFRB_
pPPrPr	cyt_cong__PDGFB_1__p_PGFRB__p_PGFRB_
pFFrFFr	cyt_cong__FGF__p_FGFR__FGF__p_FGFR_
pFFrFr	cyt_cong__FGF__p_FGFR__p_FGFR_
pIIrIr	cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R_
pINS_Isr_Isr	cyt_prot__INS_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1_
pIIrIrI	cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF_
pINS_Isr_Isr_INS	cyt_prot__INS_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__INS_1_
pIIrIr_IRS	cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS_
pINS_Isr_Isr_IRS	cyt_cong__INS_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__IRS_
pIIrIrI_IRS	cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS_
pINS_Isr_Isr_INS_IRS	cyt_cong__INS_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__INS_1__IRS_
Sp_EE1E2	cyt_prot__SPY2__EGF_1__EGFR_1__ERBB2_1_
Sp_EE1E1	cyt_prot__SPY2__EGF_1__EGFR_1__EGFR_1_
Sp_EE1EE1	cyt_prot__SPY2__EGF_1__EGFR_1__EGF_1__EGFR_1_
Sp_EE1E3	cyt_prot__SPY2__EGF_1__EGFR_1__ERBB3_1_
Sp_EE1HE3	cyt_prot__SPY2__EGF_1__EGFR_1__NRG1_1__ERBB3_1_
Sp_EE1E4	cyt_prot__SPY2__EGF_1__EGFR_1__ERBB4_1_
Sp_EE1HE4	cyt_prot__SPY2__EGF_1__EGFR_1__NRG1_1__ERBB4_1_
Sp_E2HE3	cyt_prot__SPY2__ERBB2_1__NRG1_1__ERBB3_1_
Sp_E1HE3	cyt_prot__SPY2__EGFR_1__NRG1_1__ERBB3_1_
Sp_HE3E4	cyt_prot__SPY2__NRG1_1__ERBB3_1__ERBB4_1_
Sp_HE3HE4	cyt_prot__SPY2__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_
Sp_E2HE4	cyt_prot__SPY2__ERBB2_1__NRG1_1__ERBB4_1_
Sp_E1HE4	cyt_prot__SPY2__EGFR_1__NRG1_1__ERBB4_1_
Sp_E3HE4	cyt_prot__SPY2__ERBB3_1__NRG1_1__ERBB4_1_
Sp_HE4E4	cyt_prot__SPY2__NRG1_1__ERBB4_1__ERBB4_1_
Sp_HE4HE4	cyt_prot__SPY2__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_
Sp_HGF_Met_Met	cyt_prot__SPY2__HGF_1__MET_1__MET_1_
Sp_HGF_Met_HGF_Met	cyt_prot__SPY2__HGF_1__MET_1__HGF_1__MET_1_
Sp_PPrPPr	cyt_cong__SPY2__PDGFB_1__PGFRB__PDGFB_1__PGFRB_
